Year,0.5 Ratio,0.75 Ratio,1 Ratio,1.25 Ratio,1.5 Ratio,1.75 Ratio,2 Ratio
2000 (6),4.4,8.3,13,18.1,23.1,28.4,33.9
2001,6.3,9.9,14.3,18.7,23.6,28.5,33
2002,5.7,9.1,13.2,17.9,22.6,27.3,31.9
2003,5.2,8.4,12.5,17,21.8,26.1,30.5
2004 (5),3.8,7.3,11.7,16.4,21.1,26.1,31.3
2005,5.2,8.5,12.3,16.8,21.3,25.8,30.5
2006,5.4,8.6,12.6,16.8,21.5,26.1,31
2007,5.4,8.6,12.7,17.1,21.6,26.6,31.3
2008,5.3,8.5,12.5,16.9,21.7,26.5,31.1
2009,4.9,8.1,12.1,16.5,21.4,26.1,30.5
2010 (4),3.6,6.9,11.4,15.8,20.5,25.9,31
2011,4.8,7.8,11.7,16.1,20.8,25.6,30.2
2012,4.5,7.5,11.3,15.6,20.2,24.9,29.3
2013 (2),3.5,7,11.6,16.7,21.8,27.2,32.7
2013 (3),3.3,7,11.8,16.7,22.2,27.8,33.5
2014,4.7,7.9,11.9,16.3,21.1,25.8,30.3
2015,5.1,8.5,12.7,17,21.5,26,30.8
2016,5.4,9,13.3,17.8,22.5,27.2,32.1
2017,5.4,9.3,13.7,18.5,23.4,28.5,33.5
2017 (1),3.7,7.3,12.3,17.6,23.3,28.8,34.6
2018,5.3,9.3,13.8,18.5,23.5,28.6,33.6
2019,5.9,10.1,14.5,19.3,24.3,29.3,34.3
2020,6.2,10.5,15.1,20,25,30.3,35.2
