Year,0.50,0.75,1.00,1.25,1.50,1.75,2.00
2020,3.9,5.6,9.0,13.6,18.5,23.3,28.7
2019,3.7,5.3,8.9,13.3,17.7,22.2,26.8
2018,4.0,6.0,9.7,14.1,19.1,24.4,29.3
2017 (1),3.8,5.8,9.6,14.0,19.5,24.6,29.8
2017,3.2,5.4,9.2,14.1,19.6,24.8,30.1
2016,3.3,5.3,9.3,14.2,20.0,25.0,30.4
2015,2.8,4.6,8.8,13.8,19.6,25.1,31.1
2014,3.2,5.3,10.0,15.2,21.1,26.9,32.5
2013 (2),2.9,5.0,10.2,15.7,21.2,26.8,32.3
2013 (3),2.7,4.8,9.5,15.1,21.0,27.0,33.1
2012,2.7,4.6,9.1,14.6,20.9,27.3,33.7
2011,2.3,4.2,8.7,14.5,21.0,27.2,33.6
2010 (4),2.5,4.5,8.9,14.7,21.5,28.2,34.5
2009,2.6,4.5,8.9,14.3,20.4,27.3,33.7
2008,2.6,4.8,9.7,15.9,22.7,29.8,36.2
2007,2.5,4.9,9.7,16.1,23.1,29.6,36.0
2006,2.5,5.1,9.4,15.6,22.4,29.0,35.6
2005,2.6,5.0,10.1,16.7,23.6,30.7,36.8
2004 (5),2.6,5.0,9.8,16.5,23.9,31.4,37.9
2003,2.6,4.9,10.2,16.9,24.6,32.2,38.7
2002,2.2,4.6,10.4,16.9,24.6,32.1,38.4
2001,2.2,4.5,10.1,16.6,24.2,31.3,38.2
2000 (6),2.3,4.5,9.9,16.7,24.1,31.4,37.4
1999 (7),2.1,4.1,9.7,15.7,22.8,29.5,35.9
1998,2.3,4.7,10.5,16.8,23.7,30.3,37.2
1997,2.2,4.6,10.5,17.0,23.9,31.9,38.7
1996,2.1,4.9,10.8,18.4,25.2,33.0,40.2
1995 (8),1.9,4.7,10.5,17.7,25.3,32.5,39.6
1994 (9),2.5,5.6,11.7,18.7,26.3,33.8,41.2
1993 (10),2.4,5.6,12.2,19.7,27.4,35.2,42.0
1992 (11),2.3,5.6,12.9,20.5,27.7,34.6,41.5
1991 (12),2.2,5.2,12.4,19.7,26.8,33.9,40.4
1990,2.1,5.2,12.2,19.0,26.3,33.2,39.2
1989,2.0,4.6,11.4,19.1,27.2,34.3,40.5
1988 (13),1.9,4.7,12.0,20.0,27.5,33.9,40.4
1987 (13),1.9,5.3,12.5,20.2,27.4,33.6,40.3
1986,2.1,4.7,12.4,20.5,28.0,34.5,40.8
1985 (14),2.0,5.0,12.6,20.9,28.6,35.7,42.0
1984 (15),1.7,4.6,12.4,21.2,29.1,36.1,42.6
1983,2.2,5.3,13.8,22.0,29.5,36.9,43.5
1982,2.5,6.0,14.6,23.7,31.8,39.2,46.0
1981 (16),2.0,6.3,15.3,25.2,33.7,40.8,48.0
1980,2.1,6.3,15.7,25.7,34.4,42.1,49.2
1979 (17),2.4,6.6,15.2,24.7,32.9,41.0,48.2
1978,1.7,5.3,14.0,23.4,32.4,40.6,47.3
1977,1.7,5.4,14.1,24.5,34.2,42.7,50.0
1976,1.9,5.8,15.0,25.0,34.0,42.5,49.7
1975,2.0,5.7,15.3,25.4,35.0,42.8,50.3
1974 (18),N,N,14.6,25.9,35.1,N,N
1973,N,N,16.3,26.8,35.7,N,N
1972 (19),N,N,N,N,N,N,N
1971 (20),N,N,N,N,N,N,N
1970,N,N,N,N,N,N,N
