State,StateID,Region,Unemployment_Rate(%),Pop_Below_Poverty(%),RPPall(%),Food_Insecurity(%),Child_FI(%)
Alabama,0,1,10,19,90.772,19.2%,26.7%
Alaska,1,4,8.1,9.9,103.817,14.6%,19.9%
Arizona,2,3,9.525,17.4,100.639,19.0%,29.0%
Arkansas,3,1,7.691666667,18.8,89.517,19.2%,27.8%
California,4,4,12.43333333,15.8,108.281,17.1%,26.8%
Colorado,5,4,8.1,13.4,100.291,15.5%,22.1%
Connecticut,6,0,9.016666667,10.1,106.013,13.8%,18.8%
Delaware,7,1,8.666666667,11.8,101.639,12.8%,18.4%
District of Columbia,8,1,10.46666667,19.2,113.086,16.5%,30.7%
Florida,9,1,11.88333333,16.5,100.774,19.2%,28.4%
Georgia,10,1,10.15833333,17.9,95.152,19.9%,28.3%
Hawaii,11,4,6.55,10.7,110.051,14.0%,21.7%
Idaho,12,4,9.15,15.7,93.148,17.0%,22.8%
Illinois,13,2,10.46666667,13.8,101.892,15.0%,22.2%
Indiana,14,2,9.933333333,15.3,93.769,16.2%,22.7%
Iowa,15,2,6.708333333,12.6,91.607,13.4%,19.5%
Kansas,16,2,6.591666667,13.6,93.597,15.0%,22.7%
Kentucky,17,1,10.31666667,19,90.646,17.3%,22.7%
Louisiana,18,1,7.416666667,18.7,93.803,16.7%,23.1%
Maine,19,0,7.883333333,12.9,95.436,14.9%,22.8%
Maryland,20,1,7.408333333,9.9,108.048,12.8%,17.8%
Massachusetts,21,0,8.866666667,11.4,104.398,12.3%,16.8%
Michigan,22,2,13.28333333,16.8,95.628,19.0%,24.8%
Minnesota,23,2,7.075,11.6,97.858,11.5%,16.7%
Mississippi,24,1,10.69166667,22.4,89.445,21.8%,28.3%
Missouri,25,2,9.358333333,15.3,93.537,17.1%,22.7%
Montana,26,4,7.183333333,14.6,93.212,14.5%,20.9%
Nebraska,27,2,4.741666667,12.9,92.985,13.3%,21.5%
Nevada,28,4,13.96666667,14.9,100.868,17.5%,28.2%
New Hampshire,29,0,6.116666667,8.3,102.874,10.9%,14.3%
New Jersey,30,0,9.575,10.3,108.462,13.5%,18.6%
New Mexico,31,3,8.45,20.4,94.628,18.5%,28.7%
